Date,Open,High,Low,Close,Parsed_Date,Day
10-16-2024,"20,334.50","20,398.50","20,206.30","20,349.50",2024-10-16 00:00:00,Wednesday
10-15-2024,"20,638.80","20,659.30","20,254.00","20,342.00",2024-10-15 00:00:00,Tuesday
10-14-2024,"20,432.50","20,680.00","20,383.30","20,619.30",2024-10-14 00:00:00,Monday
10-11-2024,"20,435.00","20,494.30","20,314.80","20,450.00",2024-10-11 00:00:00,Friday
10-10-2024,"20,445.30","20,508.30","20,301.50","20,429.80",2024-10-10 00:00:00,Thursday
10-09-2024,"20,294.30","20,482.80","20,196.00","20,463.50",2024-10-09 00:00:00,Wednesday
10-08-2024,"20,025.80","20,329.50","19,902.50","20,298.50",2024-10-08 00:00:00,Tuesday
10-07-2024,"20,220.00","20,267.30","19,948.00","19,992.80",2024-10-07 00:00:00,Monday
10-04-2024,"19,965.50","20,263.80","19,941.50","20,227.30",2024-10-04 00:00:00,Friday
10-03-2024,"20,055.50","20,113.80","19,852.00","19,990.30",2024-10-03 00:00:00,Thursday
10-02-2024,"19,975.30","20,090.30","19,833.50","20,009.80",2024-10-02 00:00:00,Wednesday
10-01-2024,"20,234.30","20,331.80","19,818.00","19,975.00",2024-10-01 00:00:00,Tuesday
09-30-2024,"20,198.50","20,287.00","20,056.00","20,261.30",2024-09-30 00:00:00,Monday
09-27-2024,"20,345.00","20,395.80","20,173.00","20,221.50",2024-09-27 00:00:00,Friday
09-26-2024,"20,242.00","20,538.00","20,188.00","20,346.30",2024-09-26 00:00:00,Thursday
09-25-2024,"20,183.80","20,271.00","20,064.30","20,192.00",2024-09-25 00:00:00,Wednesday
09-24-2024,"20,063.30","20,214.80","19,953.00","20,167.80",2024-09-24 00:00:00,Tuesday
09-23-2024,"20,040.00","20,164.00","19,955.30","20,080.00",2024-09-23 00:00:00,Monday
09-20-2024,"20,066.00","20,084.00","19,860.00","20,028.30",2024-09-20 00:00:00,Friday
09-19-2024,"19,648.80","20,203.00","19,636.80","20,088.00",2024-09-19 00:00:00,Thursday
09-18-2024,"19,686.80","19,900.00","19,558.00","19,580.50",2024-09-18 00:00:00,Wednesday
09-17-2024,"19,655.00","19,850.30","19,574.50","19,675.80",2024-09-17 00:00:00,Tuesday
09-16-2024,"19,733.00","19,784.00","19,529.00","19,665.30",2024-09-16 00:00:00,Monday
09-13-2024,"19,675.50","19,813.50","19,634.80","19,767.00",2024-09-13 00:00:00,Friday
09-12-2024,"19,471.50","19,716.80","19,418.30","19,681.80",2024-09-12 00:00:00,Thursday
09-11-2024,"18,837.80","19,293.50","18,547.00","19,271.00",2024-09-11 00:00:00,Wednesday
09-10-2024,"18,727.00","18,878.50","18,582.30","18,864.00",2024-09-10 00:00:00,Tuesday
09-09-2024,"18,400.00","18,734.50","18,386.00","18,692.30",2024-09-09 00:00:00,Monday
09-06-2024,"18,921.00","18,972.30","18,339.50","18,458.30",2024-09-06 00:00:00,Friday
09-05-2024,"18,965.80","19,150.50","18,827.30","18,963.50",2024-09-05 00:00:00,Thursday
09-04-2024,"18,993.80","19,114.80","18,825.80","18,962.50",2024-09-04 00:00:00,Wednesday
09-03-2024,"19,646.50","19,683.00","18,911.00","19,006.50",2024-09-03 00:00:00,Tuesday
08-30-2024,"19,445.80","19,632.80","19,370.50","19,623.00",2024-08-30 00:00:00,Friday
08-29-2024,"19,217.00","19,693.50","19,140.30","19,393.30",2024-08-29 00:00:00,Thursday
08-28-2024,"19,635.50","19,691.00","19,227.30","19,415.80",2024-08-28 00:00:00,Wednesday
08-27-2024,"19,558.80","19,694.30","19,441.50","19,653.80",2024-08-27 00:00:00,Tuesday
08-26-2024,"19,787.80","19,846.30","19,505.50","19,591.30",2024-08-26 00:00:00,Monday
08-23-2024,"19,621.50","19,904.30","19,591.80","19,790.80",2024-08-23 00:00:00,Friday
08-22-2024,"19,921.30","20,025.30","19,542.00","19,578.30",2024-08-22 00:00:00,Thursday
08-21-2024,"19,803.00","19,981.80","19,771.50","19,909.50",2024-08-21 00:00:00,Wednesday
08-20-2024,"19,857.80","19,931.00","19,743.00","19,809.50",2024-08-20 00:00:00,Tuesday
08-19-2024,"19,629.00","19,871.80","19,525.30","19,857.80",2024-08-19 00:00:00,Monday
08-16-2024,"19,570.30","19,683.00","19,447.50","19,605.80",2024-08-16 00:00:00,Friday
08-15-2024,"19,142.50","19,603.30","19,100.50","19,581.30",2024-08-15 00:00:00,Thursday
08-14-2024,"19,099.30","19,203.50","18,925.50","19,115.00",2024-08-14 00:00:00,Wednesday
08-13-2024,"18,648.30","19,122.50","18,628.50","19,104.30",2024-08-13 00:00:00,Tuesday
08-12-2024,"18,590.00","18,765.30","18,515.00","18,639.50",2024-08-12 00:00:00,Monday
08-09-2024,"18,550.30","18,674.50","18,383.00","18,616.00",2024-08-09 00:00:00,Friday
08-08-2024,"17,873.00","18,593.50","17,741.80","18,525.30",2024-08-08 00:00:00,Thursday
08-07-2024,"18,033.00","18,558.50","17,836.30","17,966.50",2024-08-07 00:00:00,Wednesday
08-06-2024,"18,165.80","18,483.30","17,966.00","18,179.00",2024-08-06 00:00:00,Tuesday
08-05-2024,"18,390.00","18,390.00","17,351.00","18,013.30",2024-08-05 00:00:00,Monday
08-02-2024,"18,956.50","18,979.80","18,385.80","18,556.30",2024-08-02 00:00:00,Friday
08-01-2024,"19,593.30","19,717.00","18,854.00","19,023.30",2024-08-01 00:00:00,Thursday
07-31-2024,"18,865.80","19,648.00","18,861.80","19,505.30",2024-07-31 00:00:00,Wednesday
07-30-2024,"19,217.00","19,319.80","18,725.00","18,936.30",2024-07-30 00:00:00,Tuesday
07-29-2024,"19,171.80","19,377.30","19,113.30","19,209.30",2024-07-29 00:00:00,Monday
07-26-2024,"19,003.00","19,297.80","18,995.00","19,174.50",2024-07-26 00:00:00,Friday
07-25-2024,"19,260.00","19,390.50","18,883.30","18,992.30",2024-07-25 00:00:00,Thursday
07-24-2024,"19,883.00","19,883.00","19,168.80","19,203.30",2024-07-24 00:00:00,Wednesday
07-23-2024,"19,982.00","20,084.80","19,868.30","19,925.00",2024-07-23 00:00:00,Tuesday
07-22-2024,"19,749.00","20,044.80","19,718.80","20,001.00",2024-07-22 00:00:00,Monday
07-19-2024,"19,955.00","19,979.80","19,654.00","19,713.00",2024-07-19 00:00:00,Friday
07-18-2024,"20,024.30","20,162.50","19,758.80","19,899.30",2024-07-18 00:00:00,Thursday
07-17-2024,"20,591.00","20,597.80","19,965.80","19,997.50",2024-07-17 00:00:00,Wednesday
07-16-2024,"20,628.00","20,684.50","20,464.50","20,598.00",2024-07-16 00:00:00,Tuesday
07-15-2024,"20,580.00","20,797.00","20,506.30","20,583.80",2024-07-15 00:00:00,Monday
07-12-2024,"20,432.80","20,741.00","20,335.00","20,524.00",2024-07-12 00:00:00,Friday
07-11-2024,"20,895.50","20,983.80","20,377.30","20,441.80",2024-07-11 00:00:00,Thursday
07-10-2024,"20,686.00","20,916.80","20,684.50","20,899.80",2024-07-10 00:00:00,Wednesday
07-09-2024,"20,681.00","20,771.80","20,615.80","20,678.50",2024-07-09 00:00:00,Tuesday
07-08-2024,"20,591.50","20,688.00","20,579.30","20,659.80",2024-07-08 00:00:00,Monday
07-05-2024,"20,381.30","20,639.50","20,361.00","20,620.80",2024-07-05 00:00:00,Friday
07-03-2024,"20,241.00","20,435.30","20,205.00","20,411.50",2024-07-03 00:00:00,Wednesday
07-02-2024,"20,045.80","20,259.30","19,910.00","20,255.30",2024-07-02 00:00:00,Tuesday
07-01-2024,"19,970.00","20,074.00","19,811.80","20,052.00",2024-07-01 00:00:00,Monday
06-28-2024,"20,063.30","20,273.30","19,906.30","19,927.30",2024-06-28 00:00:00,Friday
06-27-2024,"19,946.00","20,116.80","19,874.30","20,039.50",2024-06-27 00:00:00,Thursday
06-26-2024,"19,973.00","20,070.50","19,901.00","20,012.50",2024-06-26 00:00:00,Wednesday
06-25-2024,"19,756.00","19,981.30","19,726.00","19,972.30",2024-06-25 00:00:00,Tuesday
06-24-2024,"20,014.80","20,030.30","19,728.00","19,750.80",2024-06-24 00:00:00,Monday
06-21-2024,"20,043.30","20,086.00","19,914.30","19,982.80",2024-06-21 00:00:00,Friday
06-20-2024,"20,232.00","20,371.00","19,958.30","20,031.50",2024-06-20 00:00:00,Thursday
06-18-2024,"20,193.00","20,270.50","20,127.00","20,196.30",2024-06-18 00:00:00,Tuesday
06-17-2024,"19,954.80","20,271.30","19,904.00","20,192.80",2024-06-17 00:00:00,Monday
06-14-2024,"19,863.50","19,959.00","19,763.30","19,945.50",2024-06-14 00:00:00,Friday
06-13-2024,"19,857.30","19,950.00","19,760.50","19,863.80",2024-06-13 00:00:00,Thursday
06-12-2024,"19,248.00","19,612.30","19,233.50","19,496.50",2024-06-12 00:00:00,Wednesday
06-12-2024,"19,248.00","19,612.30","19,233.50","19,496.50",2024-06-12 00:00:00,Wednesday
06-11-2024,"19,107.30","19,257.50","18,994.50","19,242.30",2024-06-11 00:00:00,Tuesday
06-10-2024,"19,025.00","19,129.80","18,974.30","19,109.80",2024-06-10 00:00:00,Monday
06-07-2024,"19,064.00","19,155.00","18,940.00","19,037.80",2024-06-07 00:00:00,Friday
